all_api,cuckoo+droidmon,Restricted API,Highly-Correlation API,Sensitive Operation/API
android.telephony.SmsManager/sendDataMessage,android.telephony.SmsManager/sendDataMessage,android.telephony.TelephonyManager/listen,java.util.Date/toLocaleString,javax.crypto.Cipher/getInstance
android.app.ActivityManager/forceStopPackage,android.app.ActivityManager/forceStopPackage,android.media.MediaRecorder/setAudioSource,java.security.interfaces.RSAPublicKey/getModulus,javax.crypto.Cipher/init
android.app.AlarmManager/setImpl,android.app.AlarmManager/setImpl,android.speech.SpeechRecognizer/stopListening,java.io.UnsupportedEncodingException/initCause,javax.crypto.spec.SecretKeySpec/SecretKeySpec
android.hardware.Camera/setPreviewCallback,android.hardware.Camera/setPreviewCallback,android.location.LocationManager/addProximityAlert,android.webkit.WebView/setVerticalScrollbarOverlay,java.lang.ClassLoader/ClassLoader
android.hardware.Camera/setPreviewCallbackWithBuffer,android.hardware.Camera/setPreviewCallbackWithBuffer,android.provider.CalendarContract/query,javax.crypto.spec.DESedeKeySpec/DESedeKeySpec,dalvik.system.BaseDexClassLoader/BaseDexClassLoader
android.hardware.Camera/setOneShotPreviewCallback,android.hardware.Camera/setOneShotPreviewCallback,android.provider.Contacts/getSetting,java.text.DateFormat/getInstance,dalvik.system.PathClassLoader/PathClassLoader
android.content.ContentResolver/bulkInsert,android.content.ContentResolver/bulkInsert,android.accounts.AccountManager/updateCredentials,java.io.LineNumberReader/readLine,dalvik.system.DexClassLoader/DexClassLoader
android.content.ContentResolver/update,android.content.ContentResolver/update,android.accounts.AccountManager/removeAccount,org.xmlpull.v1.XmlSerializer/setFeature,dalvik.system.DexFile/DexFile
android.content.ContentResolver/applyBatch,android.content.ContentResolver/applyBatch,android.provider.CalendarContract/insert,android.telephony.cdma.CdmaCellLocation/getNetworkId,dalvik.system.InMemoryDexClassLoader/InMemoryDexClassLoader
android.app.ApplicationPackageManager/installPackage,android.app.ApplicationPackageManager/installPackage,android.accounts.AccountManager/addOnAccountsUpdatedListener,java.lang.Process/destroy,
android.app.ApplicationPackageManager/deletePackage,android.app.ApplicationPackageManager/deletePackage,android.telephony.SmsManager/downloadMultimediaMessage,java.io.LineNumberReader/LineNumberReader,
android.app.ActivityManager/isUserAMonkey,android.app.ActivityManager/isUserAMonkey,android.telecom.TelecomManager/isInCall,android.content.res.Configuration/setToDefaults,
android.app.Application/onCreate,android.app.Application/onCreate,android.telephony.SubscriptionManager/getActiveSubscriptionInfoForSimSlotIndex,android.telephony.cdma.CdmaCellLocation/getBaseStationId,
java.io.File/exists,java.io.File/exists,android.net.sip.SipManager/takeAudioCall,android.net.SSLCertificateSocketFactory/getHttpSocketFactory,
android.provider.ContactsContract/set,,android.location.LocationManager/requestSingleUpdate,java.util.jar.JarFile/close,
android.provider.Browser/updateVisitedHistory,,android.telephony.SubscriptionManager/getActiveSubscriptionInfoCount,java.net.URL/getDefaultPort,
android.location.LocationManager/sendExtraCommand,,android.telephony.SmsManager/sendTextMessage,java.security.spec.RSAPrivateKeySpec/RSAPrivateKeySpec,
android.provider.Browser/addSearchUrl,,android.net.sip.SipManager/makeAudioCall,org.apache.http.params.HttpParams/setIntParameter,
android.location.LocationManager/requestLocationUpdates,,android.provider.Browser/clearHistory,java.util.concurrent.ThreadPoolExecutor/getActiveCount,
android.net.sip.SipManager/createSipSession,,android.net.sip.SipManager/setRegistrationListener,javax.net.ssl.HttpsURLConnection/setDefaultHostnameVerifier,
android.location.LocationManager/addNmeaListener,,android.accounts.AccountManager/getAccountsByTypeAndFeatures,java.lang.ProcessBuilder/redirectErrorStream,
android.telephony.SmsManager/divideMessage,,android.telephony.SmsManager/sendMultimediaMessage,android.telephony.SmsManager/divideMessage,
android.net.sip.SipManager/register,,android.speech.SpeechRecognizer/setRecognitionListener,java.util.zip.Adler32/Adler32,
android.location.LocationManager/getProvider,,android.provider.ContactsContract/get,java.util.Properties/store,
android.telephony.TelephonyManager/getCellLocation,,android.provider.VoicemailContract/buildSourceUri,java.util.zip.GZIPOutputStream/flush,
android.provider.ContactsContract/getContactLookupUri,,android.telephony.SubscriptionManager/getActiveSubscriptionInfoList,java.net.URLConnection/setDoInput,
android.app.DownloadManager/getUriForDownloadedFile,,android.speech.SpeechRecognizer/startListening,android.bluetooth.BluetoothAdapter/getAddress,
android.provider.Browser/deleteHistoryTimeFrame,,android.widget.QuickContactBadge/onClick,java.security.cert.CertificateException/printStackTrace,
android.telephony.PhoneNumberUtils/isVoiceMailNumber,,android.net.sip.SipManager/isRegistered,android.content.Context/fileList,
android.speech.SpeechRecognizer/cancel,,android.provider.Contacts/createPersonInMyContactsGroup,android.app.AlertDialog/AlertDialog,
android.provider.ContactsContract/markAsContacted,,android.telephony.gsm.SmsManager/sendDataMessage,java.nio.charset.CoderResult/isOverflow,
android.telephony.gsm.SmsManager/sendTextMessage,,android.accounts.AccountManager/getAccountsByType,java.util.zip.Deflater/finished,
android.telephony.TelephonyManager/getGroupIdLevel1,,android.provider.Contacts/addToMyContactsGroup,javax.crypto.SecretKeyFactory/generateSecret,
android.provider.ContactsContract/notifyDirectoryChange,,android.location.LocationManager/getProviders,javax.crypto.SecretKeyFactory/getInstance,
android.provider.Contacts/setSetting,,android.provider.CallLog/getLastOutgoingCall,java.net.URLClassLoader/URLClassLoader,
android.accounts.AccountManager/editProperties,,android.accounts.AccountManager/confirmCredentials,android.webkit.WebSettings/setDefaultZoom,
android.widget.QuickContactBadge/assignContactFromEmail,,android.accounts.AccountManager/getAuthTokenByFeatures,java.io.Reader/markSupported,
android.net.sip.SipManager/open,,android.telecom.TelecomManager/showInCallScreen,android.telephony.SmsMessage/getDisplayOriginatingAddress,
android.accounts.AccountManager/addAccount,,android.telephony.TelephonyManager/getSimSerialNumber,java.lang.Runtime/exec,
